mpid,formula,canonical_formula,A,B1,B2,X,pred_bandgap_eV,actual_bandgap_eV,pred_hull_eV_atom,actual_hull_eV_atom,pred_stable_probability,actual_stable,screening_score,passes_filter,joint_actual_hit
mp-1114014,Rb2NaSmCl6,Rb2NaSmCl6,Rb,Na,Sm,Cl,4.997127377412659,5.07262532472283,0.02243288857850222,0.0153762470000016,0.9999796598651567,1,0.6415480490548038,False,0
mp-1111657,K2LiTmCl6,K2LiTmCl6,K,Li,Tm,Cl,5.297530986321231,5.064,0.02273441946510452,0.016038786400002,0.9921277829525051,1,0.636853039798244,False,0
mp-1110968,Cs2NaMoF6,Cs2NaMoF6,Cs,Na,Mo,F,4.112388799999977,3.0383,0.024040575748518533,0.0,0.9999447778143801,1,0.6366004732624697,False,0
mp-1112596,Cs2NaAsF6,Cs2NaAsF6,Cs,Na,As,F,4.57419526166763,4.557799999999999,0.02293922369754733,0.0,0.9906617558386708,1,0.6355382370752681,False,0
mp-1112122,Cs2RbSbCl6,Cs2RbSbCl6,Cs,Rb,Sb,Cl,3.3920338148618816,3.470712613117505,0.028547659754635173,0.025257204999999,0.9980604621459043,1,0.6354667191402612,False,0
mp-1112569,Cs2NaAlF6,Cs2NaAlF6,Cs,Na,Al,F,6.888565000000023,6.7033000000000005,0.025251946649628997,0.0158312425,0.9997789313325914,1,0.6309451429879349,False,0
mp-1111725,Rb2SmAgCl6,Rb2AgSmCl6,Rb,Ag,Sm,Cl,3.65171813904428,3.729140434375101,0.027721175370357617,0.0227829590000006,0.9988508742940361,1,0.6289017482681926,False,0
mp-1113929,Rb2NaAlCl6,Rb2NaAlCl6,Rb,Na,Al,Cl,4.163179541853155,4.224437098580707,0.026561695476864735,0.0357743589999999,0.9983454200444961,1,0.6265305318820924,False,0
mp-1114041,KRb2ErCl6,Rb2KErCl6,Rb,K,Er,Cl,4.8726752450919815,4.873145786716115,0.027911255162506334,0.0302694810000003,0.9997367984432401,1,0.6215731719196125,False,0
mp-1112443,K2TmAgCl6,K2AgTmCl6,K,Ag,Tm,Cl,3.4592233113477855,3.643957366099646,0.030743901564378062,0.0262204576500009,0.9870218193631528,1,0.619996385358793,False,0
mp-1112586,Cs2AlInF6,Cs2AlInF6,Cs,Al,In,F,4.162327940160518,4.5643,0.015285586898219418,0.0143701071041677,0.8822766724922707,1,0.6189190060807923,False,0
mp-1111927,K2LiCrF6,K2LiCrF6,K,Li,Cr,F,4.143049795216776,4.1685,0.030950531057643994,0.0,0.9994608757207264,1,0.6122972311113003,False,0
mp-1110834,K2LiYF6,K2LiYF6,K,Li,Y,F,6.527894811304929,6.6987,0.030336819607997886,0.0465504082500052,0.996841151422946,1,0.6121166333134377,False,0
mp-1111622,K2NaTbCl6,K2NaTbCl6,K,Na,Tb,Cl,4.799889207060944,4.911331950892063,0.03110132284864023,0.0346831090000003,0.9984267503233628,1,0.6103856236998387,False,0
mp-1110769,Rb2NaPrI6,Rb2NaPrI6,Rb,Na,Pr,I,3.114845622705944,3.1129,0.04546928132847448,0.0471153497500016,0.9939689223677541,1,0.6052356948613928,False,0
mp-6586,K2NaAlF6,K2NaAlF6,K,Na,Al,F,6.617010492900454,6.8674,0.03591616705208846,0.0,0.9997954711629995,1,0.5961786795126327,False,0
mp-1110871,K2CuBiCl6,K2CuBiCl6,K,Cu,Bi,Cl,1.0479509175746937,1.1617099306588834,0.05742138067290962,0.0,0.6853618672525146,1,0.5846935839109659,False,1
mp-1111134,K2ScTlCl6,K2ScTlCl6,K,Sc,Tl,Cl,3.461473163516824,3.397204902498556,0.03932011838443793,0.0594486808333316,0.9194868010869722,0,0.563939428050853,False,0
mp-1113059,Cs2KAlCl6,Cs2AlKCl6,Cs,Al,K,Cl,4.628160405975277,4.619841772293031,0.043716529763582,0.0347280777500005,0.9632391783928091,1,0.5586941648878604,False,0
mp-13798,K2NaTlF6,K2NaTlF6,K,Na,Tl,F,3.609516817193969,3.6374,0.0483674705596437,0.0,0.9667739043961303,1,0.5573099684748054,False,0
mp-1112891,Cs2InAsI6,Cs2AsInI6,Cs,As,In,I,0.6962315351015964,0.1190999999999999,0.07405325531792382,0.0664033427499983,0.8229682144423588,0,0.5499247009704863,False,0
mp-1110816,Rb2YAgI6,Rb2YAgI6,Rb,Y,Ag,I,2.6298341057536803,2.5563,0.051437057756224674,0.0499671687499998,0.7464395658471713,1,0.549625861675951,False,0
mp-1112565,Cs2TlCoF6,Cs2CoTlF6,Cs,Co,Tl,F,2.4245210889349393,2.9239,0.016911458709963748,0.0511228893749997,0.40399776848881447,0,0.5423853732871069,False,0
mp-1112286,K2FeAgF6,K2FeAgF6,K,Fe,Ag,F,1.9350440681164622,2.1064,0.037171765151548665,0.0137004256249984,0.3127132438053944,1,0.5159452772915812,False,1
mp-1113243,Cs2AgMoBr6,Cs2MoAgBr6,Cs,Mo,Ag,Br,0.6872445006832432,0.533976270057168,0.05039426604669244,0.0543625616250005,0.6467685689441706,0,0.5102211468659643,False,0
mp-1110807,Rb2NdAgBr6,Rb2AgNdBr6,Rb,Ag,Nd,Br,3.2162010006946002,3.30633372754002,0.04058997195445185,0.0507212134999988,0.768270093894161,0,0.5071872170515995,False,0
mp-1111125,K2TlSbF6,K2SbTlF6,K,Sb,Tl,F,2.705700604524895,2.652363345867076,0.11255461456301939,0.1239642742500004,0.6417947101301024,0,0.41322482093986174,False,0
mp-1110947,K2YAgI6,K2YAgI6,K,Y,Ag,I,2.592180187188042,2.5807,0.07463557616141249,0.0841399259999993,0.4752381182571874,0,0.3948526587852179,False,0
mp-1111940,K2GaCuF6,K2CuGaF6,K,Cu,Ga,F,0.6267095048641128,0.2187999999999998,0.06851989382802816,0.063398337968751,0.48677858398759993,0,0.3938140012728086,False,0
mp-1112896,Cs2AlInI6,Cs2AlInI6,Cs,Al,In,I,1.4941195663765345,1.4712,0.050836230505365676,0.0433044452499995,0.07280176140649056,1,0.38595236528952465,False,1
mp-1112282,K2AgIrF6,K2AgIrF6,K,Ag,Ir,F,1.4250154357178155,1.5151999999999997,0.0463254788443764,0.0784800158333318,0.03926833306016073,0,0.37545157873841717,False,0
mp-1111578,K2TlInBr6,K2InTlBr6,K,In,Tl,Br,1.6807980680113972,2.123206250947404,0.05224567281591969,0.075643856750001,0.007453689547892161,0,0.35866014390711815,False,0
mp-1111468,Rb2GaAgCl6,Rb2GaAgCl6,Rb,Ga,Ag,Cl,1.2659940479460832,1.2131018930295574,0.04512552008521127,0.0618796451250016,0.038387658294054355,0,0.35822729543290127,False,0
mp-1113539,Cs2CoAgF6,Cs2CoAgF6,Cs,Co,Ag,F,1.78516855377681,1.8768,0.0869271218302493,0.0431195918749987,0.1309028560398687,1,0.35761188284268075,False,1
mp-1110902,K2LiBiBr6,K2LiBiBr6,K,Li,Bi,Br,2.940217646808649,2.9959,0.04122675332243655,0.0401285284999994,0.33251003734524376,1,0.338087698034497,False,0
mp-1112517,Cs2RbGaCl6,Cs2GaRbCl6,Cs,Ga,Rb,Cl,3.492285384409966,3.453426015701803,0.05877530662042622,0.0630647807500004,0.4879166620963931,0,0.32439946498751016,False,0
mp-1111394,CsRb2IrF6,Rb2CsIrF6,Rb,Cs,Ir,F,2.354509416052192,2.3735420260497286,0.05755479061853261,0.0706571677500003,0.1408942052469087,0,0.3191077542430294,False,0
mp-1112893,Cs2InAsBr6,Cs2AsInBr6,Cs,As,In,Br,0.7529245509653785,0.7189207129731949,0.08184430695472343,0.0287657928333331,0.3039388591553979,1,0.3174058713039744,False,0
mp-1110717,K2RbMoCl6,K2RbMoCl6,K,Rb,Mo,Cl,1.7005162290816844,1.6332022463121572,0.08243969962277914,0.088022740718749,0.00021630438929176227,0,0.3072153917237964,False,0
mp-1111714,Rb2ScAuBr6,Rb2ScAuBr6,Rb,Sc,Au,Br,1.7403945404478633,1.7436123475003211,0.09305190680889419,0.1048276577499991,0.0008235600750892475,0,0.295214695715405,False,0
